title,episode_url,download_url
Ep: 108 Steven Pinker’s ”Rationality”Chapter 3 ”Logic and Critical Thinking” - reflections and analysis.,https://www.podbean.com/site/EpisodeDownload/PB11BEDFFTCB9F,https://mcdn.podbean.com/mf/download/anm4sw/Rationality_2ahatk.mp3
Ep 107: What is a good explanation?,https://www.podbean.com/site/EpisodeDownload/PB119DB58S4RDN,https://mcdn.podbean.com/mf/download/njr8zd/What_is_a_good_explanation_Podcastazfsw.mp3
Ep 106: David Deutsch’s ”The Fabric of Reality” Chapter 4 “Criteria for Reality” Part 2,https://www.podbean.com/site/EpisodeDownload/PB118C967ECUFB,https://mcdn.podbean.com/mf/download/q8r9ry/Ch_4_Part_2_podcast86kmv.mp3
Ep 105: David Deutsch’s “The Fabric of Reality” Chapter 4 “Criteria for Reality” Part 1,https://www.podbean.com/site/EpisodeDownload/PB117DEB1JWID6,https://mcdn.podbean.com/mf/download/752g5g/Episode_105_Ch_4_Fabric_of_Reality9n8m0.mp3
Ep 104: Are We Running Out Of Resources?,https://www.podbean.com/site/EpisodeDownload/PB1163234F675M,https://mcdn.podbean.com/mf/download/qeqdmt/Are_we_running_out_of_resources_Podcasta2fnj.mp3
Ep 103: Ask Me Anything #2,https://www.podbean.com/site/EpisodeDownload/PB11589F28W5NA,https://mcdn.podbean.com/mf/download/nyti8d/Episode_103_AMA91g6g.mp3
Ep 102: The Thin Veneer,https://www.podbean.com/site/EpisodeDownload/PB1155AAEHYR2U,https://mcdn.podbean.com/mf/download/skabpb/The_Thin_Veneer80y95.mp3
Ep 101 Ask Me Anything 1,https://www.podbean.com/site/EpisodeDownload/PB114CD94ZD9B5,https://mcdn.podbean.com/mf/download/9cud5d/Ep_101_Ask_Me_Anything_1_bc8nh.mp3
Ep 100: David Deutsch,https://www.podbean.com/site/EpisodeDownload/PB114575DJMPHV,https://mcdn.podbean.com/mf/download/zzbafz/Episode_100_Podcast65rif.mp3
Ep: 99 David Deutsch‘s ”The Beginning of Infinity” - a retrospective in 99 minutes,https://www.podbean.com/site/EpisodeDownload/PB113207ATPB7F,https://mcdn.podbean.com/mf/download/dkvgnf/Knitted_Raw_Chapters_99_minute_version_Podcast9za1r.mp3
Ep 98: ”Knowledge” Chiara Marletto‘s ”The Science of Can and Can‘t” Ch 5 Readings and discussion.,https://www.podbean.com/site/EpisodeDownload/PB111FB96JDBMT,https://mcdn.podbean.com/mf/download/rkk88h/Can_and_Can_t_Ep_5_Final_Podcast6zfur.mp3
